particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
121.259,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12264679643,2.113,4312872,29819
120.842,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12236085202,2.120,4278137,28468
120.485,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12245622705,2.127,4305580,31558
123.638,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12244834880,2.072,4356675,29288
120.451,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12240664207,2.127,4373562,32279
120.512,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12251458768,2.126,12784341,28539
121.198,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12266185255,2.114,4665714,27997
119.977,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12258304033,2.136,4342425,31307
76.839,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40444606850,6.509,9457774,59806
76.339,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40429525170,6.552,9235251,58239
76.679,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40382156634,6.523,9429483,59371
76.658,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40394573898,6.525,9397089,55587
76.873,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40418385478,6.507,9344659,58609
76.657,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40399090858,6.525,9138727,62984
77.128,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40425591404,6.485,9647303,56233
76.958,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40426655766,6.500,9401989,55946
76.264,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40405264968,6.558,9224982,56533
76.513,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40416363226,6.537,9830061,57747
55.214,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112287388997,15.651,36384069,110953
55.336,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112300337680,15.617,37284415,110333
55.241,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112266706446,15.644,36476174,122711
54.991,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112342895323,15.715,40046876,114556
55.339,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112275051601,15.616,37193819,123399
771.120,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8571192,0.007,148950,
788.065,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9701382,0.007,95441,
806.412,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,4207613,0.006,115707,837
797.433,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,5344463,0.006,90069,1099
781.073,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9173151,0.007,92060,
771.682,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,5121045,0.006,87458,724
792.306,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9686941,0.007,97148,
804.702,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,5410157,0.006,86896,800
805.115,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,5453363,0.006,86282,1252
802.627,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9741545,0.006,92223,
807.513,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,4738225,0.006,95671,1018
797.407,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,10258348,0.006,96029,
803.101,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,5380924,0.006,89175,929
804.764,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9862566,0.007,91767,
809.929,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9156438,0.006,93039,
814.853,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8764713,0.006,85435,
805.545,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9859029,0.007,94917,
814.499,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9685069,0.006,92393,
806.908,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8979279,0.006,89236,
805.595,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8677971,0.006,88452,
813.601,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,6390564,0.006,88890,1627
814.801,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,10009312,0.006,92671,
804.631,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9088526,0.006,91345,
810.939,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,10,0.006,90723,557
816.903,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9133470,0.006,92957,
794.126,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9262557,0.007,90467,
813.077,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,10321483,0.006,107093,
806.412,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9749233,0.006,94974,
799.841,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9568952,0.007,91240,
811.945,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9387863,0.007,87567,
499.136,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,474669881,0.066,537339,2786
500.661,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,476552270,0.065,487517,2646
507.187,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,482951385,0.064,501685,2355
510.582,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,481431990,0.064,495087,2430
508.298,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,471751287,0.064,475605,2246
510.805,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,492488023,0.064,521500,2119
508.732,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,488402842,0.064,511456,2143
495.008,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,474390842,0.066,488578,2249
493.952,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,477353339,0.066,479663,2275
507.329,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,491213766,0.065,520722,2390
496.065,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,475247866,0.066,494762,2454
510.594,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,488809722,0.064,518075,2339
501.364,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,492062987,0.065,503405,2468
504.537,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,475193187,0.065,502736,2465
492.164,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,478962446,0.066,497989,2683
498.107,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,474252003,0.066,503069,2394
510.363,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,492114385,0.064,516471,2416
507.157,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,491671961,0.064,521265,2387
502.931,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,491226583,0.065,506808,2452
502.667,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,492662264,0.065,521362,2363
502.064,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,489526287,0.065,527355,2340
506.804,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,481318398,0.064,500844,2703
507.591,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,487359401,0.064,519373,2272
