particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
10.860,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15017420,0.371,11240267,8658
10.442,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15207060,0.386,11841531,16149
9.258,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15218583,0.435,12501193,12346
10.633,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15414661,0.379,11977907,12312
11.637,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15272692,0.346,11680229,7592
12.470,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14930572,0.323,10781359,10148
10.725,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15412756,0.375,11386948,8523
11.248,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14952327,0.358,10705432,11873
10.023,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15160322,0.401,12687379,7972
11.068,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14905356,0.364,11531351,11871
12.802,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15157211,0.315,11497311,6551
10.807,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15281892,0.373,18665178,14936
10.072,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14915304,0.400,12448083,12673
19.849,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15022880,0.204,11850748,7186
16.001,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15403791,0.252,16300729,8459
12.341,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,14904134,0.327,11510431,11857
11.742,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15430987,0.343,34529752,8099
11.041,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15327401,0.365,12388538,13304
11.885,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,30,20,15470007,0.339,30941511,11693
68.412,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,434182371,0.470,19063179,20139
76.862,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,439831991,0.420,17203661,16767
79.635,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,436920494,0.404,16749344,17424
80.827,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,437534461,0.399,25797571,11317
74.502,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,446782683,0.432,17249562,14269
84.113,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,435917270,0.383,23520141,14459
83.639,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,436162083,0.385,17670177,14681
76.745,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,445565489,0.419,26842729,15058
82.549,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,444051266,0.390,16012021,12511
72.203,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,440815329,0.446,24842915,17293
124.181,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,424066256,0.260,16766308,6168
83.606,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,441705338,0.385,16521823,12738
72.682,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,439616339,0.443,17005787,13379
78.456,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,437114429,0.410,17273005,16160
95.088,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,450016118,0.339,16924253,10189
77.868,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,440921575,0.414,17307568,14355
74.015,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,432888388,0.435,26581075,21456
82.437,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,433815314,0.391,16915912,11928
90.771,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,442743702,0.355,17506154,14642
84.832,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,430298277,0.380,16977392,19571
125.467,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,433106704,0.258,15669772,6509
91.335,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,431652499,0.353,17071304,13360
118.268,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,20,438138793,0.273,16686533,8204
