particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
45.171,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,489442412,0.712,36667019,27875
45.438,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,488770974,0.708,33861020,20803
58.204,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,481847044,0.553,32867736,28959
52.698,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,484965014,0.611,34044682,24968
54.488,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,493461884,0.591,39950898,26815
41.336,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,486468010,0.778,38139989,34563
39.333,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,481209167,0.817,58907563,32833
52.995,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,481872218,0.607,33386214,34756
55.147,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,482853279,0.584,32344337,27065
45.146,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,488826357,0.713,35743915,39981
52.760,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,483374255,0.610,33251162,28437
41.906,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,486958174,0.767,36319840,42954
43.106,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,483384709,0.746,56596818,30972
54.225,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,483839398,0.594,35515892,23636
53.071,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,25,40,481913570,0.606,34655506,26202
106.217,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3291120739,1.021,67021674,35719
139.641,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3294504731,0.778,59234443,39271
140.381,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3291034170,0.773,58713989,36263
145.681,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3295319841,0.745,59610832,28920
125.413,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3295735517,0.864,60399686,34011
139.092,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3287504276,0.780,61553197,34395
136.089,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3285582677,0.797,60374666,46086
122.514,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3271218949,0.885,60098571,33641
116.848,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3307490630,0.928,105915808,38634
150.407,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3277019585,0.721,86725105,32937
133.145,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3311670404,0.815,58190604,38848
159.126,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3249019223,0.682,56097185,24703
138.460,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3283230071,0.783,59941401,38421
144.020,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3308688115,0.753,59107050,31237
107.981,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3311154829,1.004,63522239,38000
152.911,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3280318674,0.710,64617218,38650
158.465,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3262184909,0.685,57821177,39437
150.931,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3317493767,0.719,56318475,28421
175.316,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3324323444,0.619,61743472,29197
125.083,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,20,40,3370805971,0.867,61808895,29330
261.646,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13062359584,0.982,120727069,131829
233.896,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12989335297,1.098,123984236,132525
250.689,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13147509422,1.025,120225772,129375
242.609,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13024485192,1.059,120793090,134008
220.835,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13082140723,1.163,131723929,147139
255.098,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12914966936,1.007,141802558,127305
279.708,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12961615465,0.919,124022040,121595
212.913,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13067887195,1.206,126926890,137037
243.652,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13007503345,1.054,120480577,129524
267.294,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12990793299,0.962,119779279,122182
258.202,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12924180350,0.996,121571259,135304
228.469,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12950492784,1.124,123853869,139884
249.974,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12977712936,1.028,121300267,123674
255.263,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,13051391429,1.007,120844284,131445
250.440,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,15,40,12986289401,1.026,122485134,148465
381.359,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41877249098,1.315,261086879,290808
343.392,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41878014242,1.460,270349341,286551
353.694,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41773015367,1.418,268176791,308757
317.836,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41750804034,1.577,275751175,312712
355.716,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41967472719,1.410,262949734,258385
337.307,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,42080813281,1.487,268270545,286586
355.025,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41603250131,1.412,273616377,302677
365.230,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,42224734805,1.373,262133043,280885
337.972,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41825807206,1.484,283601293,301722
348.973,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,10,40,41930745734,1.437,268991120,283589
377.859,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,40,114461599689,2.291,845515105,336897
381.711,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,40,113886830938,2.268,887639116,372763
386.154,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,40,114987168448,2.242,848962742,402245
374.758,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,40,115144598085,2.310,844931847,372283
380.189,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,40,114617399344,2.277,854459421,327647
369.943,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,276238743853,3.713,1547167377,645963
373.312,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,599871903968,5.490,3304412252,1683651
335.201,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,1,40,1195823950941,8.704,13329573658,825017
7.534,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,24801986,0.534,23969176,32213
8.033,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,24991962,0.501,56110880,28792
9.458,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,25122542,0.426,18558636,16556
7.029,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,24647131,0.573,22147331,28581
7.820,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,24584050,0.515,61213838,32406
10.116,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,25609045,0.399,53419855,11783
7.783,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,24659596,0.517,45873990,29039
9.126,4,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,30,40,23953088,0.442,21306377,19643
