particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
239.171,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2981036117,0.454,1806154,12491
242.900,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2993245405,0.446,1721625,12393
241.952,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2988513549,0.448,1739480,14122
242.907,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2993763156,0.446,1742358,11927
241.539,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2978166524,0.449,1881667,13222
243.256,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2985156004,0.446,1838544,12009
242.599,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2996747320,0.447,1788097,12904
243.411,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2990824588,0.445,1863284,13266
241.836,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,3002587061,0.449,1826040,13221
244.564,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2974909230,0.443,1769680,11990
244.493,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2984669573,0.444,1815006,11892
243.202,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2989297370,0.446,1800157,12123
243.150,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2985006030,0.446,1820379,12327
241.133,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2995057007,0.450,1896676,13323
242.747,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2995018451,0.447,1826821,12280
243.282,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2989824683,0.446,1876677,12953
243.712,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2987120823,0.445,1809333,11661
241.478,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2984750581,0.449,1867687,11600
243.008,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20,2991981078,0.446,1788569,11104
116.030,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12241955919,2.208,15226341,35885
115.811,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12258979057,2.212,4532890,31000
114.679,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12269714895,2.234,4506751,30679
118.292,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12269742578,2.166,4285858,30526
115.617,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12253718422,2.216,4201435,30178
115.255,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12263087271,2.224,4304755,33009
115.013,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12254596695,2.228,4408422,33230
116.099,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12254471526,2.207,4446478,36355
115.578,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12257057755,2.217,4570135,37285
116.021,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12250150180,2.209,4448109,30999
115.773,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12252094134,2.213,4713196,34577
115.069,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12257561569,2.228,4559104,30917
116.023,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12251079475,2.209,4273883,33045
114.906,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12255402452,2.230,4419485,33509
115.402,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,15,12269447023,2.220,4331398,36270
73.070,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40412006523,6.845,9148809,60821
73.433,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40420577614,6.812,9088733,60939
73.455,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40416304299,6.809,14010808,62753
73.454,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40436831906,6.809,9401939,58722
73.716,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40409627310,6.785,9040140,59235
73.318,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40400758689,6.822,9380214,64900
73.049,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40427228053,6.847,9292326,68154
73.560,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40428462360,6.800,9188392,57912
73.013,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40408052913,6.851,9576391,58723
73.148,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,10,40384570222,6.838,9059366,58630
52.686,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112279876226,16.402,36492618,118812
52.725,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112244873426,16.390,36613835,114213
52.672,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112272495138,16.407,36676674,147711
52.770,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112285018101,16.376,36152223,133148
52.693,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,5,112308725509,16.400,37139706,128951
39.093,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,1,272466378495,35.099,191458812,226568
29.067,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,1,593610404408,70.463,1470705198,440677
21.958,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,1,1187363380635,132.809,10955714654,733640
744.884,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9289181,0.007,138459,
776.616,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9821917,0.007,94575,
799.619,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8085752,0.006,96984,
794.748,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,4929699,0.007,88748,988
763.640,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,3828803,0.007,87507,678
786.091,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8847628,0.007,87665,
795.630,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,0,0.007,94570,480
799.600,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,7952850,0.006,87359,
795.023,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,4450117,0.006,89199,675
796.489,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,6311298,0.007,85411,1219
787.160,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,6784004,0.007,110266,3068
801.010,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,7954857,0.006,96490,
796.216,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,6133905,0.007,92363,1179
795.640,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8959674,0.006,85912,
801.788,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9015997,0.007,99713,
789.802,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9408958,0.007,91174,
801.796,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9861388,0.006,100061,
794.827,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,7664023,0.006,85449,
790.973,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8186679,0.006,94269,
800.227,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8146092,0.006,89577,
796.417,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9466808,0.007,105868,
798.240,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8885097,0.007,89540,
802.318,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8224045,0.006,116227,
800.624,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9740741,0.007,94658,
790.329,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9851600,0.007,106402,
790.396,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,0,0.007,123985,561
795.378,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,8958855,0.006,97395,
800.704,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,9834164,0.006,90097,
800.339,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,3725838,0.006,85989,674
796.863,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,30,3564828,0.007,95813,891
485.916,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,480416577,0.068,560931,2522
488.902,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,480870004,0.067,487563,2710
487.918,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,481074003,0.067,498454,2527
487.847,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,474770587,0.067,510285,2761
475.824,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,479999670,0.069,508943,2635
487.770,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,481633647,0.067,473607,2779
485.031,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,478772252,0.068,505895,2638
488.477,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,478756703,0.067,471688,2471
488.099,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,472677793,0.067,493582,2547
484.289,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,473760404,0.068,521159,2849
486.811,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,481427536,0.067,505892,2487
487.813,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,479163583,0.067,491617,2598
483.512,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,473816127,0.068,510715,2537
488.144,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,484741808,0.067,518924,2551
488.812,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,485373062,0.067,519248,2412
489.016,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,481367921,0.067,500535,2411
487.895,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,gcc,25,485033955,0.067,516831,2390
